Name,Path,Version,Dev Dependency,Flagged,
@babel/code-frame,,7.0.0-rc.1,true,false,
@babel/highlight,,7.0.0-rc.1,true,false,
js-tokens,@babel/highlight.js-tokens,3.0.2,true,false,
@microsoft/load-themed-styles,,1.7.77,false,false,
@mrmlnc/readdir-enhanced,,2.2.1,true,false,
@nodelib/fs.stat,,1.1.0,true,false,
@sindresorhus/is,,0.7.0,true,false,
@types/body-parser,,1.17.0,false,false,
@types/node,@types/body-parser.@types/node,10.5.7,false,false,
@types/cheerio,,0.22.8,true,false,
@types/connect,,3.4.32,false,false,
@types/node,@types/connect.@types/node,10.5.7,false,false,
@types/enzyme,,3.1.9,true,false,
@types/events,,1.2.0,false,false,
@types/express,,4.16.0,false,false,
@types/express-serve-static-core,,4.16.0,false,false,
@types/node,@types/express-serve-static-core.@types/node,10.5.7,false,false,
@types/form-data,,2.2.1,false,false,
@types/node,@types/form-data.@types/node,10.5.7,false,false,
@types/http-proxy,,1.16.2,true,false,
@types/http-proxy-middleware,,0.17.5,true,false,
@types/i18next,,8.4.4,true,false,
@types/jest,,21.1.5,true,false,
@types/localforage,,0.0.34,true,false,
@types/mime,,2.0.0,false,false,
@types/node,,9.6.2,true,false,
@types/prop-types,,15.5.4,false,false,
@types/range-parser,,1.2.2,false,false,
@types/react,,16.4.2,false,false,
@types/react-dom,,16.0.4,true,false,
@types/react-i18next,,7.8.2,true,false,
@types/react-redux,,6.0.2,true,false,
@types/redux-logger,,3.0.6,true,false,
redux,@types/redux-logger.redux,3.7.2,true,false,
@types/serve-static,,1.13.2,false,false,
@types/tapable,,1.0.4,true,false,
@types/tough-cookie,,2.3.3,false,false,
@types/uglify-js,,3.0.3,true,false,
@types/uuid,,3.4.3,false,false,
@types/node,@types/uuid.@types/node,10.5.7,false,false,
@types/webpack,,4.4.9,true,false,
@types/webpack-dev-server,,2.9.5,true,false,
@types/webpack-merge,,4.1.3,true,false,
@types/xml2js,,0.4.3,false,false,
@types/node,@types/xml2js.@types/node,10.5.7,false,false,
@uifabric/icons,,6.0.2,false,false,
@uifabric/merge-styles,,6.7.0,false,false,
@uifabric/styling,,6.14.0,false,false,
@uifabric/utilities,,6.12.1,false,false,
abab,,2.0.0,true,false,
abbrev,,1.1.1,true,false,
accepts,,1.3.5,true,false,
acorn-globals,,4.1.0,true,false,
acorn,acorn-globals.acorn,5.7.3,true,false,
ajv,,5.5.2,true,false,
ajv-keywords,,3.2.0,true,false,
align-text,,0.1.4,true,false,
kind-of,align-text.kind-of,3.2.2,true,false,
amdefine,,1.0.1,true,false,
ansi-escapes,,3.1.0,true,false,
ansi-html,,0.0.7,true,false,
ansi-regex,,2.1.1,true,false,
ansi-styles,,3.2.1,true,false,
any-observable,,0.2.0,true,false,
anymatch,,2.0.0,true,false,
append-transform,,1.0.0,true,false,
aproba,,1.2.0,true,false,
are-we-there-yet,,1.1.5,true,false,
argparse,,1.0.10,true,false,
arr-diff,,4.0.0,true,false,
arr-flatten,,1.1.0,true,false,
arr-union,,3.1.0,true,false,
array-differ,,1.0.0,true,false,
array-equal,,1.0.0,true,false,
array-find-index,,1.0.2,true,false,
array-flatten,,2.1.1,true,false,
array-includes,,3.0.3,true,false,
array-union,,1.0.2,true,false,
array-uniq,,1.0.3,true,false,
array-unique,,0.3.2,true,false,
arrify,,1.0.1,true,false,
asap,,2.0.6,false,false,
asn1,,0.2.4,true,false,
asn1.js,,4.10.1,true,false,
assert,,1.4.1,true,false,
inherits,assert.inherits,2.0.1,true,false,
util,assert.util,0.10.3,true,false,
assert-plus,,1.0.0,true,false,
assign-symbols,,1.0.0,true,false,
ast-types,,0.11.5,true,false,
astral-regex,,1.0.0,true,false,
async,,2.6.1,true,false,
async-each,,1.0.1,true,false,
async-foreach,,0.1.3,true,false,
async-limiter,,1.0.0,true,false,
asynckit,,0.4.0,false,false,
atob,,2.1.1,true,false,
autobind-decorator,,2.1.0,false,false,
awesome-typescript-loader,,5.0.0,true,false,
aws-sign2,,0.7.0,true,false,
aws4,,1.8.0,true,false,
axios,,0.18.0,false,false,
babel-code-frame,,6.26.0,true,false,
ansi-styles,babel-code-frame.ansi-styles,2.2.1,true,false,
chalk,babel-code-frame.chalk,1.1.3,true,false,
js-tokens,babel-code-frame.js-tokens,3.0.2,true,false,
strip-ansi,babel-code-frame.strip-ansi,3.0.1,true,false,
supports-color,babel-code-frame.supports-color,2.0.0,true,false,
babel-core,,6.26.3,true,false,
debug,babel-core.debug,2.6.9,true,false,
source-map,babel-core.source-map,0.5.7,true,false,
babel-generator,,6.26.1,true,false,
source-map,babel-generator.source-map,0.5.7,true,false,
babel-helper-bindify-decorators,,6.24.1,true,false,
babel-helper-builder-binary-assignment-operator-visitor,,6.24.1,true,false,
babel-helper-call-delegate,,6.24.1,true,false,
babel-helper-define-map,,6.26.0,true,false,
babel-helper-explode-assignable-expression,,6.24.1,true,false,
babel-helper-explode-class,,6.24.1,true,false,
babel-helper-function-name,,6.24.1,true,false,
